url	first_seen	portal	title	company	status
https://weworkremotely.com/remote-jobs/digioh-senior-cloud-infrastructure-engineer	2026-04-10	weworkremotely	Senior Cloud Infrastructure Engineer	Digioh	added
https://weworkremotely.com/remote-jobs/agentic-dream-sr-devops-engineer-cloud-architect	2026-04-10	weworkremotely	Sr. DevOps Engineer / Cloud Architect	Agentic Dream	added
https://weworkremotely.com/remote-jobs/solera-manager-cloud-devops-engineering	2026-04-10	weworkremotely	Manager Cloud, DevOps Engineering	Solera	added
https://remotive.com/remote/jobs/devops/sre-devops-infrastructure-engineer-4225457	2026-04-10	remotive	SRE / DevOps / Infrastructure Engineer	Intetics	added
https://remotive.com/remote/jobs/devops/sr-cloud-devops-engineer-4303216	2026-04-10	remotive	Sr Cloud DevOps Engineer	Resilient Co	added
https://remotive.com/remote/jobs/devops/cloud-platform-engineer-4283946	2026-04-10	remotive	Cloud Platform Engineer	8am	added
https://remotive.com/remote/jobs/devops/senior-devops-sre-engineer-4224115	2026-04-10	remotive	Senior DevOps / SRE Engineer	MLabs	added
https://remotive.com/remote/jobs/devops/cloud-engineer-4135134	2026-04-10	remotive	Cloud Engineer	Pearson	added
https://remotive.com/remote/jobs/devops/senior-infrastructure-engineer-3911289	2026-04-10	remotive	Senior Infrastructure Engineer	Flex	added
https://startup.jobs/lead-devops-engineer-remote-africa-only-webfxcom-3565763	2026-04-10	africa-websearch	Lead DevOPS Engineer (Remote, Africa Only)	WebFX	added
https://www.jobsearchgh.com/jobs/22202/platform-engineer-devops-africa-limited/	2026-04-10	africa-websearch	Platform Engineer	DevOps Africa Limited	added
https://bitovi.applytojob.com/apply/aWrSeDuEXQ/Nearshore-Fullstack-Engineer-AI-Enabled	2026-04-10	playwright	Nearshore - Fullstack Engineer, AI Enabled	Bitovi	skipped_title
https://bitovi.applytojob.com/apply/cqEsmB127h/FullStack-Applied-AI-Engineer	2026-04-10	playwright	Full-Stack Applied AI Engineer	Bitovi	skipped_title
https://bitovi.applytojob.com/apply/VEP3zvBNeW/Lead-AI-Architect	2026-04-10	playwright	Lead AI Architect	Bitovi	skipped_title
https://bitovi.applytojob.com/apply/7CtK7ThCEx/FullStack-Applied-AI-Engineer	2026-04-10	playwright	Full-Stack Applied AI Engineer	Bitovi	skipped_title
https://bitovi.applytojob.com/apply/vkfQLYyYPe/Technical-Product-Owner-USCanada	2026-04-10	playwright	Technical Product Owner - US/Canada	Bitovi	skipped_title
https://jobs.ashbyhq.com/bjakcareer/e7cc6f3e-07b6-425a-a393-a0516823f75f	2026-04-10	ashby	DevOps Engineer	Bjak	added
https://jobs.ashbyhq.com/hopper/b2f58f85-e1ba-488a-b321-0a121375bf7f	2026-04-10	ashby	SRE - Platform Infrastructure (Remote Canada)	Hopper	added
